,Pclass,Sex,Age,SibSp,Fare
0,3,1,2.0,1,0.0
1,1,0,3.0,1,7.0
2,3,0,2.0,0,0.0
3,1,0,3.0,1,5.0
4,3,1,3.0,0,0.0
5,3,1,2.0,0,0.0
6,1,1,5.0,0,5.0
7,3,1,0.0,3,2.0
8,3,0,2.0,0,1.0
9,2,0,1.0,1,3.0
10,3,0,0.0,1,1.0
11,1,0,5.0,0,2.0
12,3,1,2.0,0,0.0
13,3,1,3.0,1,3.0
14,3,0,1.0,0,0.0
15,2,0,5.0,0,1.0
16,3,1,0.0,4,2.0
17,2,1,2.0,0,1.0
18,3,0,3.0,1,1.0
19,3,0,2.0,0,0.0
20,2,1,3.0,0,2.0
21,2,1,3.0,0,1.0
22,3,0,1.0,0,0.0
23,1,1,2.0,0,3.0
24,3,0,0.0,3,2.0
25,3,0,3.0,1,3.0
26,3,1,2.0,0,0.0
27,1,1,1.0,3,26.0
28,3,0,2.0,0,0.0
29,3,1,2.0,0,0.0
30,1,1,4.0,0,2.0
31,1,0,2.0,1,14.0
32,3,0,2.0,0,0.0
33,2,1,6.0,0,1.0
34,1,1,2.0,1,8.0
35,1,1,4.0,1,5.0
36,3,1,2.0,0,0.0
37,3,1,2.0,0,0.0
38,3,0,1.0,2,1.0
39,3,0,1.0,1,1.0
40,3,0,4.0,1,0.0
41,2,0,2.0,1,2.0
42,3,1,2.0,0,0.0
43,2,0,0.0,1,4.0
44,3,0,1.0,0,0.0
45,3,1,2.0,0,0.0
46,3,1,2.0,1,1.0
47,3,0,2.0,0,0.0
48,3,1,2.0,2,2.0
49,3,0,1.0,1,1.0
50,3,1,0.0,4,3.0
51,3,1,2.0,0,0.0
52,1,0,4.0,1,7.0
53,2,0,2.0,1,2.0
54,1,1,6.0,0,6.0
55,1,1,2.0,0,3.0
56,2,0,2.0,0,1.0
57,3,1,2.0,0,0.0
58,2,0,0.0,1,2.0
59,3,1,1.0,5,4.0
60,3,1,2.0,0,0.0
61,1,0,3.0,0,8.0
62,1,1,4.0,1,8.0
63,3,1,0.0,3,2.0
64,1,1,2.0,0,2.0
65,3,1,2.0,1,1.0
66,2,0,2.0,0,1.0
67,3,1,1.0,0,0.0
68,3,0,1.0,4,0.0
69,3,1,2.0,2,0.0
70,2,1,3.0,0,1.0
71,3,0,1.0,5,4.0
72,2,1,2.0,0,7.0
73,3,1,2.0,1,1.0
74,3,1,3.0,0,5.0
75,3,1,2.0,0,0.0
76,3,1,2.0,0,0.0
77,3,1,2.0,0,0.0
78,2,1,0.0,0,2.0
79,3,0,3.0,0,1.0
80,3,1,2.0,0,0.0
81,3,1,2.0,0,0.0
82,3,0,2.0,0,0.0
83,1,1,2.0,0,4.0
84,2,0,1.0,0,1.0
85,3,0,3.0,3,1.0
86,3,1,1.0,1,3.0
87,3,1,2.0,0,0.0
88,1,0,2.0,3,26.0
89,3,1,2.0,0,0.0
90,3,1,2.0,0,0.0
91,3,1,2.0,0,0.0
92,1,1,4.0,1,6.0
93,3,1,2.0,1,2.0
94,3,1,5.0,0,0.0
95,3,1,2.0,0,0.0
96,1,1,7.0,0,3.0
97,1,1,2.0,0,6.0
98,2,0,3.0,0,2.0
99,2,1,3.0,1,2.0
100,3,0,2.0,0,0.0
101,3,1,2.0,0,0.0
102,1,1,2.0,0,7.0
103,3,1,3.0,0,0.0
104,3,1,3.0,2,0.0
105,3,1,2.0,0,0.0
106,3,0,2.0,0,0.0
107,3,1,2.0,0,0.0
108,3,1,3.0,0,0.0
109,3,0,2.0,1,2.0
110,1,1,4.0,0,5.0
111,3,0,1.0,1,1.0
112,3,1,2.0,0,0.0
113,3,0,2.0,1,0.0
114,3,0,1.0,0,1.0
115,3,1,2.0,0,0.0
116,3,1,7.0,0,0.0
117,2,1,2.0,1,2.0
118,1,1,2.0,0,24.0
119,3,0,0.0,4,3.0
120,2,1,2.0,2,7.0
121,3,1,2.0,0,0.0
122,2,1,3.0,1,3.0
123,2,0,3.0,0,1.0
124,1,1,5.0,0,7.0
125,3,1,1.0,1,1.0
126,3,1,2.0,0,0.0
127,3,1,2.0,0,0.0
128,3,0,2.0,1,2.0
129,3,1,4.0,0,0.0
130,3,1,3.0,0,0.0
131,3,1,2.0,0,0.0
132,3,0,4.0,1,1.0
133,2,0,2.0,1,2.0
134,2,1,2.0,0,1.0
135,2,1,2.0,0,1.0
136,1,0,1.0,0,2.0
137,1,1,3.0,1,5.0
138,3,1,1.0,0,0.0
139,1,1,2.0,0,7.0
140,3,0,2.0,0,1.0
141,3,0,2.0,0,0.0
142,3,0,2.0,1,1.0
143,3,1,1.0,0,0.0
144,2,1,1.0,0,1.0
145,2,1,1.0,1,3.0
146,3,1,2.0,0,0.0
147,3,0,0.0,2,3.0
148,2,1,3.0,0,2.0
149,2,1,4.0,0,1.0
150,2,1,5.0,0,1.0
151,1,0,2.0,1,6.0
152,3,1,5.0,0,0.0
153,3,1,4.0,0,1.0
154,3,1,2.0,0,0.0
155,1,1,5.0,0,6.0
156,3,0,1.0,0,0.0
157,3,1,3.0,0,0.0
158,3,1,2.0,0,0.0
159,3,1,2.0,8,6.0
160,3,1,4.0,0,1.0
161,2,0,4.0,0,1.0
162,3,1,2.0,0,0.0
163,3,1,1.0,0,0.0
164,3,1,0.0,4,3.0
165,3,1,0.0,0,2.0
166,1,0,2.0,0,5.0
167,3,0,4.0,1,2.0
168,1,1,2.0,0,2.0
169,3,1,2.0,0,5.0
170,1,1,6.0,0,3.0
171,3,1,0.0,4,2.0
172,3,0,0.0,1,1.0
173,3,1,2.0,0,0.0
174,1,1,5.0,0,3.0
175,3,1,1.0,1,0.0
176,3,1,2.0,3,2.0
177,1,0,5.0,0,2.0
178,2,1,3.0,0,1.0
179,3,1,3.0,0,0.0
180,3,0,2.0,8,6.0
181,2,1,2.0,0,1.0
182,3,1,0.0,4,3.0
183,2,1,0.0,2,3.0
184,3,0,0.0,0,2.0
185,1,1,2.0,0,5.0
186,3,0,2.0,1,1.0
187,1,1,4.0,0,2.0
188,3,1,4.0,1,1.0
189,3,1,3.0,0,0.0
190,2,0,3.0,0,1.0
191,2,1,1.0,0,1.0
192,3,0,1.0,1,0.0
193,2,1,0.0,1,2.0
194,1,0,4.0,0,2.0
195,1,0,5.0,0,14.0
196,3,1,2.0,0,0.0
197,3,1,4.0,0,0.0
198,3,0,2.0,0,0.0
199,2,0,2.0,0,1.0
200,3,1,2.0,0,0.0
201,3,1,2.0,8,6.0
202,3,1,3.0,0,0.0
203,3,1,4.0,0,0.0
204,3,1,1.0,0,0.0
205,3,0,0.0,0,1.0
206,3,1,3.0,1,1.0
207,3,1,2.0,0,1.0
208,3,0,1.0,0,0.0
209,1,1,4.0,0,3.0
210,3,1,2.0,0,0.0
211,2,0,3.0,0,2.0
212,3,1,2.0,0,0.0
213,2,1,3.0,0,1.0
214,3,1,2.0,1,0.0
215,1,0,3.0,1,11.0
216,3,0,2.0,0,0.0
217,2,1,4.0,1,2.0
218,1,0,3.0,0,7.0
219,2,1,3.0,0,1.0
220,3,1,1.0,0,0.0
221,2,1,2.0,0,1.0
222,3,1,5.0,0,0.0
223,3,1,2.0,0,0.0
224,1,1,3.0,1,9.0
225,3,1,2.0,0,0.0
226,2,1,1.0,0,1.0
227,3,1,2.0,0,0.0
228,2,1,1.0,0,1.0
229,3,0,2.0,3,2.0
230,1,0,3.0,1,8.0
231,3,1,2.0,0,0.0
232,2,1,5.0,0,1.0
233,3,0,0.0,4,3.0
234,2,1,2.0,0,1.0
235,3,0,2.0,0,0.0
236,2,1,4.0,1,2.0
237,2,0,0.0,0,2.0
238,2,1,1.0,0,1.0
239,2,1,3.0,0,1.0
240,3,0,2.0,1,1.0
241,3,0,2.0,1,1.0
242,2,1,2.0,0,1.0
243,3,1,2.0,0,0.0
244,3,1,3.0,0,0.0
245,1,1,4.0,2,9.0
246,3,0,2.0,0,0.0
247,2,0,2.0,0,1.0
248,1,1,3.0,1,5.0
249,2,1,5.0,1,2.0
250,3,1,2.0,0,0.0
251,3,0,2.0,1,1.0
252,1,1,6.0,0,2.0
253,3,1,3.0,1,1.0
254,3,0,4.0,0,2.0
255,3,0,2.0,0,1.0
256,1,0,2.0,0,7.0
257,1,0,3.0,0,8.0
258,1,0,3.0,0,51.0
259,2,0,5.0,0,2.0
260,3,1,2.0,0,0.0
261,3,1,0.0,4,3.0
262,1,1,5.0,1,7.0
263,1,1,4.0,0,0.0
264,3,0,2.0,0,0.0
265,2,1,3.0,0,1.0
266,3,1,1.0,4,3.0
267,3,1,2.0,1,0.0
268,1,0,5.0,0,15.0
269,1,0,3.0,0,13.0
270,1,1,2.0,0,3.0
271,3,1,2.0,0,0.0
272,2,0,4.0,0,1.0
273,1,1,3.0,0,2.0
274,3,0,2.0,0,0.0
275,1,0,6.0,1,7.0
276,3,0,4.0,0,0.0
277,2,1,2.0,0,0.0
278,3,1,0.0,4,2.0
279,3,0,3.0,1,2.0
280,3,1,6.0,0,0.0
281,3,1,2.0,0,0.0
282,3,1,1.0,0,0.0
283,3,1,1.0,0,0.0
284,1,1,2.0,0,2.0
285,3,1,3.0,0,0.0
286,3,1,3.0,0,0.0
287,3,1,2.0,0,0.0
288,2,1,4.0,0,1.0
289,3,0,2.0,0,0.0
290,1,0,2.0,0,7.0
291,1,0,1.0,1,9.0
292,2,1,3.0,0,1.0
293,3,0,2.0,0,0.0
294,3,1,2.0,0,0.0
295,1,1,2.0,0,2.0
296,3,1,2.0,0,0.0
297,1,0,0.0,1,15.0
298,1,1,2.0,0,3.0
299,1,0,5.0,0,24.0
300,3,0,2.0,0,0.0
301,3,1,2.0,2,2.0
302,3,1,1.0,0,0.0
303,2,0,2.0,0,1.0
304,3,1,2.0,0,0.0
305,1,1,0.0,1,15.0
306,1,0,2.0,0,11.0
307,1,0,1.0,1,10.0
308,2,1,3.0,1,2.0
309,1,0,3.0,0,5.0
310,1,0,2.0,0,8.0
311,1,0,1.0,2,26.0
312,2,0,2.0,1,2.0
313,3,1,2.0,0,0.0
314,2,1,4.0,1,2.0
315,3,0,2.0,0,0.0
316,2,0,2.0,1,2.0
317,2,1,5.0,0,1.0
318,1,0,3.0,0,16.0
319,1,0,4.0,1,13.0
320,3,1,2.0,0,0.0
321,3,1,2.0,0,0.0
322,2,0,3.0,0,1.0
323,2,0,2.0,1,2.0
324,3,1,2.0,8,6.0
325,1,0,3.0,0,13.0
326,3,1,6.0,0,0.0
327,2,0,3.0,0,1.0
328,3,0,3.0,1,2.0
329,1,0,1.0,0,5.0
330,3,0,2.0,2,2.0
331,1,1,4.0,0,2.0
332,1,1,3.0,0,15.0
333,3,1,1.0,2,1.0
334,1,0,2.0,1,13.0
335,3,1,2.0,0,0.0
336,1,1,2.0,1,6.0
337,1,0,4.0,0,13.0
338,3,1,4.0,0,0.0
339,1,1,4.0,0,3.0
340,2,1,0.0,1,2.0
341,1,0,2.0,3,26.0
342,2,1,2.0,0,1.0
343,2,1,2.0,0,1.0
344,2,1,3.0,0,1.0
345,2,0,2.0,0,1.0
346,2,0,4.0,0,1.0
347,3,0,2.0,1,1.0
348,3,1,0.0,1,1.0
349,3,1,4.0,0,0.0
350,3,1,2.0,0,0.0
351,1,1,2.0,0,3.0
352,3,1,1.0,1,0.0
353,3,1,2.0,1,1.0
354,3,1,2.0,0,0.0
355,3,1,2.0,0,0.0
356,1,0,2.0,0,5.0
357,2,0,3.0,0,1.0
358,3,0,2.0,0,0.0
359,3,0,2.0,0,0.0
360,3,1,4.0,1,2.0
361,2,1,2.0,1,2.0
362,3,0,4.0,0,1.0
363,3,1,3.0,0,0.0
364,3,1,2.0,1,1.0
365,3,1,3.0,0,0.0
366,1,0,6.0,1,7.0
367,3,0,2.0,0,0.0
368,3,0,2.0,0,0.0
369,1,0,2.0,0,6.0
370,1,1,2.0,1,5.0
371,3,1,1.0,1,0.0
372,3,1,1.0,0,0.0
373,1,1,2.0,0,13.0
374,3,0,0.0,3,2.0
375,1,0,2.0,1,8.0
376,3,0,2.0,0,0.0
377,1,1,2.0,0,21.0
378,3,1,2.0,0,0.0
379,3,1,1.0,0,0.0
380,1,0,4.0,0,22.0
381,3,0,0.0,0,1.0
382,3,1,3.0,0,0.0
383,1,0,3.0,1,5.0
384,3,1,2.0,0,0.0
385,2,1,1.0,0,7.0
386,3,1,0.0,5,4.0
387,2,0,3.0,0,1.0
388,3,1,2.0,0,0.0
389,2,0,1.0,0,1.0
390,1,1,3.0,1,12.0
391,3,1,2.0,0,0.0
392,3,1,2.0,2,0.0
393,1,0,2.0,1,11.0
394,3,0,2.0,0,1.0
395,3,1,2.0,0,0.0
396,3,0,3.0,0,0.0
397,2,1,4.0,0,2.0
398,2,1,2.0,0,1.0
399,2,0,2.0,0,1.0
400,3,1,3.0,0,0.0
401,3,1,2.0,0,0.0
402,3,0,2.0,1,0.0
403,3,1,2.0,1,1.0
404,3,0,2.0,0,0.0
405,2,1,3.0,1,2.0
406,3,1,5.0,0,0.0
407,2,1,0.0,1,1.0
408,3,1,2.0,0,0.0
409,3,0,2.0,3,2.0
410,3,1,2.0,0,0.0
411,3,1,2.0,0,0.0
412,1,0,3.0,1,9.0
413,2,1,2.0,0,0.0
414,3,1,4.0,0,0.0
415,3,0,2.0,0,0.0
416,2,0,3.0,1,3.0
417,2,0,1.0,0,1.0
418,2,1,3.0,0,1.0
419,3,0,1.0,0,2.0
420,3,1,2.0,0,0.0
421,3,1,2.0,0,0.0
422,3,1,2.0,0,0.0
423,3,0,2.0,1,1.0
424,3,1,1.0,1,2.0
425,3,1,2.0,0,0.0
426,2,0,2.0,1,2.0
427,2,0,1.0,0,2.0
428,3,1,2.0,0,0.0
429,3,1,3.0,0,0.0
430,1,1,2.0,0,2.0
431,3,0,2.0,1,1.0
432,2,0,4.0,1,2.0
433,3,1,1.0,0,0.0
434,1,1,5.0,1,5.0
435,1,0,1.0,1,12.0
436,3,0,2.0,2,3.0
437,2,0,2.0,2,1.0
438,1,1,6.0,1,26.0
439,2,1,3.0,0,1.0
440,2,0,4.0,1,2.0
441,3,1,2.0,0,0.0
442,3,1,2.0,1,0.0
443,2,0,2.0,0,1.0
444,3,1,2.0,0,0.0
445,1,1,0.0,0,8.0
446,2,0,1.0,0,1.0
