,Pclass,Sex,Age,SibSp,Fare
447,1,1,3.0,0,2.0
448,3,0,0.0,2,1.0
449,1,1,5.0,0,3.0
450,2,1,3.0,1,2.0
451,3,1,2.0,1,1.0
452,1,1,3.0,0,2.0
453,1,1,4.0,1,8.0
454,3,1,2.0,0,0.0
455,3,1,2.0,0,0.0
456,1,1,6.0,0,2.0
457,1,0,2.0,1,5.0
458,2,0,5.0,0,1.0
459,3,1,2.0,0,0.0
460,1,1,4.0,0,2.0
461,3,1,3.0,0,0.0
462,1,1,4.0,0,3.0
463,2,1,4.0,0,1.0
464,3,1,2.0,0,0.0
465,3,1,3.0,0,0.0
466,2,1,2.0,0,0.0
467,1,1,5.0,0,2.0
468,3,1,2.0,0,0.0
469,3,0,0.0,2,1.0
470,3,1,2.0,0,0.0
471,3,1,3.0,0,0.0
472,2,0,3.0,1,2.0
473,2,0,2.0,0,1.0
474,3,0,2.0,0,0.0
475,1,1,2.0,0,5.0
476,2,1,3.0,1,2.0
477,3,1,2.0,1,0.0
478,3,1,2.0,0,0.0
479,3,0,0.0,0,1.0
480,3,1,0.0,5,4.0
481,2,1,2.0,0,0.0
482,3,1,5.0,0,0.0
483,3,0,6.0,0,0.0
484,1,1,2.0,1,9.0
485,3,0,2.0,3,2.0
486,1,0,3.0,1,9.0
487,1,1,5.0,0,2.0
488,3,1,3.0,0,0.0
489,3,1,0.0,1,1.0
490,3,1,2.0,1,1.0
491,3,1,2.0,0,0.0
492,1,1,5.0,0,3.0
493,1,1,7.0,0,4.0
494,3,1,2.0,0,0.0
495,3,1,2.0,0,1.0
496,1,0,5.0,1,7.0
497,3,1,2.0,0,1.0
498,1,0,2.0,1,15.0
499,3,1,2.0,0,0.0
500,3,1,1.0,0,0.0
501,3,0,2.0,0,0.0
502,3,0,2.0,0,0.0
503,3,0,3.0,0,0.0
504,1,0,1.0,0,8.0
505,1,1,1.0,1,10.0
506,2,0,3.0,0,2.0
507,1,1,2.0,0,2.0
508,3,1,2.0,0,2.0
509,3,1,2.0,0,5.0
510,3,1,2.0,0,0.0
511,3,1,2.0,0,0.0
512,1,1,3.0,0,2.0
513,1,0,5.0,1,5.0
514,3,1,2.0,0,0.0
515,1,1,4.0,0,3.0
516,2,0,3.0,0,1.0
517,3,1,2.0,0,2.0
518,2,0,3.0,1,2.0
519,3,1,3.0,0,0.0
520,1,0,3.0,0,9.0
521,3,1,2.0,0,0.0
522,3,1,2.0,0,0.0
523,1,0,4.0,0,5.0
524,3,1,2.0,0,0.0
525,3,1,4.0,0,0.0
526,2,0,5.0,0,1.0
527,1,1,2.0,0,22.0
528,3,1,3.0,0,0.0
529,2,1,2.0,2,1.0
530,2,0,0.0,1,2.0
531,3,1,2.0,0,0.0
532,3,1,1.0,1,0.0
533,3,0,2.0,0,2.0
534,3,0,3.0,0,0.0
535,2,0,0.0,0,2.0
536,1,1,4.0,0,2.0
537,1,0,3.0,0,10.0
538,3,1,2.0,0,1.0
539,1,0,2.0,0,4.0
540,1,0,3.0,0,7.0
541,3,0,0.0,4,3.0
542,3,0,1.0,4,3.0
543,2,1,3.0,1,2.0
544,1,1,5.0,1,10.0
545,1,1,6.0,0,2.0
546,2,0,1.0,1,2.0
547,2,1,2.0,0,1.0
548,3,1,3.0,1,2.0
549,2,1,0.0,1,3.0
550,1,1,1.0,0,11.0
551,2,1,2.0,0,2.0
552,3,1,2.0,0,0.0
553,3,1,2.0,0,0.0
554,3,0,2.0,0,0.0
555,1,1,6.0,0,2.0
556,1,0,4.0,1,3.0
557,1,1,2.0,0,22.0
558,1,0,3.0,1,7.0
559,3,0,3.0,1,1.0
560,3,1,2.0,0,0.0
561,3,1,4.0,0,0.0
562,2,1,2.0,0,1.0
563,3,1,2.0,0,0.0
564,3,0,2.0,0,0.0
565,3,1,2.0,2,2.0
566,3,1,1.0,0,0.0
567,3,0,2.0,0,2.0
568,3,1,2.0,0,0.0
569,3,1,3.0,0,0.0
570,2,1,6.0,0,1.0
571,1,0,5.0,2,5.0
572,1,1,3.0,0,2.0
573,3,0,2.0,0,0.0
574,3,1,1.0,0,0.0
575,3,1,1.0,0,1.0
576,2,0,3.0,0,1.0
577,1,0,3.0,1,5.0
578,3,0,2.0,1,1.0
579,3,1,3.0,0,0.0
580,2,0,2.0,1,3.0
581,1,0,3.0,1,11.0
582,2,1,5.0,0,2.0
583,1,1,3.0,0,4.0
584,3,1,2.0,0,0.0
585,1,0,1.0,0,7.0
586,2,1,4.0,0,1.0
587,1,1,6.0,1,7.0
588,3,1,2.0,0,0.0
589,3,1,2.0,0,0.0
590,3,1,3.0,0,0.0
591,1,0,5.0,1,7.0
592,3,1,4.0,0,0.0
593,3,0,2.0,0,0.0
594,2,1,3.0,1,2.0
595,3,1,3.0,1,2.0
596,2,0,2.0,0,3.0
597,3,1,4.0,0,0.0
598,3,1,2.0,0,0.0
599,1,1,4.0,1,5.0
600,2,0,2.0,2,2.0
601,3,1,2.0,0,0.0
602,1,1,2.0,0,4.0
603,3,1,4.0,0,0.0
604,1,1,3.0,0,2.0
605,3,1,3.0,1,1.0
606,3,1,3.0,0,0.0
607,1,1,2.0,0,3.0
608,2,0,2.0,1,4.0
609,1,0,4.0,0,15.0
610,3,0,3.0,1,3.0
611,3,1,2.0,0,0.0
612,3,0,2.0,1,1.0
613,3,1,2.0,0,0.0
614,3,1,3.0,0,0.0
615,2,0,2.0,1,6.0
616,3,1,3.0,1,1.0
617,3,0,2.0,1,1.0
618,2,0,0.0,2,3.0
619,2,1,2.0,0,1.0
620,3,1,2.0,1,1.0
621,1,1,4.0,1,5.0
622,3,1,2.0,1,1.0
623,3,1,2.0,0,0.0
624,3,1,2.0,0,1.0
625,1,1,6.0,0,3.0
626,2,1,5.0,0,1.0
627,1,0,2.0,0,7.0
628,3,1,2.0,0,0.0
629,3,1,2.0,0,0.0
630,1,1,8.0,0,3.0
631,3,1,5.0,0,0.0
632,1,1,3.0,0,3.0
633,1,1,2.0,0,0.0
634,3,0,0.0,3,2.0
635,2,0,2.0,0,1.0
636,3,1,3.0,0,0.0
637,2,1,3.0,1,2.0
638,3,0,4.0,0,3.0
639,3,1,2.0,1,1.0
640,3,1,2.0,0,0.0
641,1,0,2.0,0,6.0
642,3,0,0.0,3,2.0
643,3,1,2.0,0,5.0
644,3,0,0.0,2,1.0
645,1,1,4.0,1,7.0
646,3,1,1.0,0,0.0
647,1,1,5.0,0,3.0
648,3,1,2.0,0,0.0
649,3,0,2.0,0,0.0
650,3,1,2.0,0,0.0
651,2,0,1.0,0,2.0
652,3,1,2.0,0,0.0
653,3,0,2.0,0,0.0
654,3,0,1.0,0,0.0
655,2,1,2.0,2,7.0
656,3,1,2.0,0,0.0
657,3,0,3.0,1,1.0
658,2,1,2.0,0,1.0
659,1,1,5.0,0,11.0
660,1,1,5.0,2,13.0
661,3,1,4.0,0,0.0
662,1,1,4.0,0,2.0
663,3,1,3.0,0,0.0
664,3,1,2.0,1,0.0
665,2,1,3.0,2,7.0
666,2,1,2.0,0,1.0
667,3,1,2.0,0,0.0
668,3,1,4.0,0,0.0
669,1,0,2.0,1,5.0
670,2,0,4.0,1,3.0
671,1,1,3.0,1,5.0
672,2,1,7.0,0,1.0
673,2,1,3.0,0,1.0
674,2,1,2.0,0,0.0
675,3,1,1.0,0,0.0
676,3,1,2.0,0,0.0
677,3,0,1.0,0,0.0
678,3,0,4.0,1,4.0
679,1,1,3.0,0,51.0
680,3,0,2.0,0,0.0
681,1,1,2.0,0,7.0
682,3,1,2.0,0,0.0
683,3,1,1.0,5,4.0
684,2,1,6.0,1,3.0
685,2,1,2.0,1,4.0
686,3,1,1.0,4,3.0
687,3,1,1.0,0,1.0
688,3,1,1.0,0,0.0
689,1,0,1.0,0,21.0
690,1,1,3.0,1,5.0
691,3,0,0.0,0,1.0
692,3,1,2.0,0,5.0
693,3,1,2.0,0,0.0
694,1,1,6.0,0,2.0
695,2,1,5.0,0,1.0
696,3,1,4.0,0,0.0
697,3,0,2.0,0,0.0
698,1,1,4.0,1,11.0
699,3,1,4.0,0,0.0
700,1,0,1.0,1,22.0
701,1,1,3.0,0,2.0
702,3,0,1.0,0,1.0
703,3,1,2.0,0,0.0
704,3,1,2.0,1,0.0
705,2,1,3.0,0,2.0
706,2,0,4.0,0,1.0
707,1,1,4.0,0,2.0
708,1,0,2.0,0,15.0
709,3,1,2.0,1,1.0
710,1,0,2.0,0,4.0
711,1,1,2.0,0,2.0
712,1,1,4.0,1,5.0
713,3,1,2.0,0,0.0
714,2,1,5.0,0,1.0
715,3,1,1.0,0,0.0
716,1,0,3.0,0,22.0
717,2,0,2.0,0,1.0
718,3,1,2.0,0,1.0
719,3,1,3.0,0,0.0
720,2,0,0.0,0,3.0
721,3,1,1.0,1,0.0
722,2,1,3.0,0,1.0
723,2,1,5.0,0,1.0
724,1,1,2.0,1,5.0
725,3,1,2.0,0,0.0
726,2,0,3.0,3,2.0
727,3,0,2.0,0,0.0
728,2,1,2.0,1,2.0
729,3,0,2.0,1,0.0
730,1,0,2.0,0,21.0
731,3,1,1.0,0,1.0
732,2,1,2.0,0,0.0
733,2,1,2.0,0,1.0
734,2,1,2.0,0,1.0
735,3,1,2.0,0,1.0
736,3,0,4.0,1,3.0
737,1,1,3.0,0,51.0
738,3,1,2.0,0,0.0
739,3,1,2.0,0,0.0
740,1,1,2.0,0,3.0
741,1,1,3.0,1,7.0
742,1,0,2.0,2,26.0
743,3,1,2.0,1,1.0
744,3,1,3.0,0,0.0
745,1,1,7.0,1,7.0
746,3,1,1.0,1,2.0
747,2,0,3.0,0,1.0
748,1,1,1.0,1,5.0
749,3,1,3.0,0,0.0
750,2,0,0.0,1,2.0
751,3,1,0.0,0,1.0
752,3,1,3.0,0,0.0
753,3,1,2.0,0,0.0
754,2,0,4.0,1,6.0
755,2,1,0.0,1,1.0
756,3,1,2.0,0,0.0
757,2,1,1.0,0,1.0
758,3,1,3.0,0,0.0
759,1,0,3.0,0,8.0
760,3,1,2.0,0,1.0
761,3,1,4.0,0,0.0
762,3,1,2.0,0,0.0
763,1,0,3.0,1,12.0
764,3,1,1.0,0,0.0
765,1,0,5.0,1,7.0
766,1,1,2.0,0,3.0
767,3,0,3.0,0,0.0
768,3,1,2.0,1,2.0
769,3,1,3.0,0,0.0
770,3,1,2.0,0,0.0
771,3,1,4.0,0,0.0
772,2,0,5.0,0,1.0
773,3,1,2.0,0,0.0
774,2,0,5.0,1,2.0
775,3,1,1.0,0,0.0
776,3,1,2.0,0,0.0
777,3,0,0.0,0,1.0
778,3,1,2.0,0,0.0
779,1,0,4.0,0,21.0
780,3,0,1.0,0,0.0
781,1,0,1.0,1,5.0
782,1,1,2.0,0,3.0
783,3,1,2.0,1,2.0
784,3,1,2.0,0,0.0
785,3,1,2.0,0,0.0
786,3,0,1.0,0,0.0
787,3,1,0.0,4,2.0
788,3,1,0.0,1,2.0
789,1,1,4.0,0,7.0
790,3,1,2.0,0,0.0
791,2,1,1.0,0,2.0
792,3,0,2.0,8,6.0
793,1,1,2.0,0,3.0
794,3,1,2.0,0,0.0
795,2,1,3.0,0,1.0
796,1,0,4.0,0,2.0
797,3,0,3.0,0,0.0
798,3,1,3.0,0,0.0
799,3,0,3.0,1,2.0
800,2,1,3.0,0,1.0
801,2,0,3.0,1,2.0
802,1,1,1.0,1,12.0
803,3,1,0.0,0,0.0
804,3,1,2.0,0,0.0
805,3,1,3.0,0,0.0
806,1,1,3.0,0,0.0
807,3,0,1.0,0,0.0
808,2,1,3.0,0,1.0
809,1,0,3.0,1,5.0
810,3,1,2.0,0,0.0
811,3,1,3.0,0,2.0
812,2,1,3.0,0,1.0
813,3,0,0.0,4,3.0
814,3,1,3.0,0,0.0
815,1,1,2.0,0,0.0
816,3,0,2.0,0,0.0
817,2,1,3.0,1,3.0
818,3,1,4.0,0,0.0
819,3,1,1.0,3,2.0
820,1,0,5.0,1,9.0
821,3,1,2.0,0,0.0
822,1,1,3.0,0,0.0
823,3,0,2.0,0,1.0
824,3,1,0.0,4,3.0
825,3,1,2.0,0,0.0
826,3,1,2.0,0,5.0
827,2,1,0.0,0,3.0
828,3,1,2.0,0,0.0
829,1,0,6.0,0,8.0
830,3,0,1.0,1,1.0
831,2,1,0.0,1,1.0
832,3,1,2.0,0,0.0
833,3,1,2.0,0,0.0
834,3,1,1.0,0,0.0
835,1,0,3.0,1,8.0
836,3,1,2.0,0,0.0
837,3,1,2.0,0,0.0
838,3,1,3.0,0,5.0
839,1,1,2.0,0,2.0
840,3,1,2.0,0,0.0
841,2,1,1.0,0,1.0
842,1,0,3.0,0,3.0
843,3,1,3.0,0,0.0
844,3,1,1.0,0,0.0
845,3,1,4.0,0,0.0
846,3,1,2.0,8,6.0
847,3,1,3.0,0,0.0
848,2,1,2.0,0,3.0
849,1,0,2.0,1,8.0
850,3,1,0.0,4,3.0
851,3,1,7.0,0,0.0
852,3,0,0.0,1,1.0
853,1,0,1.0,0,3.0
854,2,0,4.0,1,2.0
855,3,0,1.0,0,0.0
856,1,0,4.0,1,16.0
857,1,1,5.0,0,2.0
858,3,0,2.0,0,1.0
859,3,1,2.0,0,0.0
860,3,1,4.0,2,1.0
861,2,1,2.0,1,1.0
862,1,0,4.0,0,2.0
863,3,0,2.0,8,6.0
864,2,1,2.0,0,1.0
865,2,0,4.0,0,1.0
866,2,0,2.0,1,1.0
867,1,1,3.0,0,5.0
868,3,1,2.0,0,0.0
869,3,1,0.0,1,1.0
870,3,1,2.0,0,0.0
871,1,0,4.0,1,5.0
872,1,1,3.0,0,0.0
873,3,1,4.0,0,0.0
874,2,0,2.0,1,2.0
875,3,0,1.0,0,0.0
876,3,1,2.0,0,0.0
877,3,1,1.0,0,0.0
878,3,1,2.0,0,0.0
879,1,0,5.0,0,8.0
880,2,0,2.0,0,2.0
881,3,1,3.0,0,0.0
882,3,0,2.0,0,1.0
883,2,1,2.0,0,1.0
884,3,1,2.0,0,0.0
885,3,0,3.0,0,2.0
886,2,1,2.0,0,1.0
887,1,0,1.0,0,3.0
888,3,0,2.0,1,2.0
889,1,1,2.0,0,3.0
890,3,1,3.0,0,0.0
